operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('ADD', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(3, 2, 6)",6,6,4,6,half,ADD,0,BUUxy,,,,,0,12,12,4,,,,,,space,2.18574136787,6,1,4.64258054667,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,13,13,14,,,,,,space,8.29163751763,7,1,5.70204809133,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,14,14,1,,,,,,space,1.28737811209,4,1,2.51227689395,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DECREASE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(4, 2, 1)",1,1,2,8,DIVIDE,decrease,0,UUBxy,,,,,0,15,15,8,,,,,,space,7.83003393596,1,1,3.96203316189,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(12, 4, 3, 1)",1,1,3,6,third,DIVIDE,double,BUUUxy,,,,,0,16,16,10,,,,,,space,6.36969372246,1,1,5.44875012292,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DECREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 2, 1)",1,1,9,3,triple,decrease,double,UBUUxy,,,,,0,17,17,12,,,,,,space,4.41977209668,1,1,7.28103677381,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'TRIPLE', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 18, 17, 8)",8,8,9,3,triple,SUBTRACT,double,BUUUxy,,,,,0,0,0,11,,,,,,space,6.14140169474,8,1,7.58644010499,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('THIRD', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(18, 2, 3, 1)",1,1,9,9,DIVIDE,third,double,UUBUxy,,,,,0,1,1,15,,,,,,space,4.40514502313,1,1,5.22242733976,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('THIRD', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 1)",1,1,3,3,ADD,third,0,UUBxy,,,,,0,2,2,9,,,,,,space,2.80389551353,1,1,5.3205987456,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('INCREASE', 'ADD', 'x', 'y')",ADD,2,"(5, 6)",6,6,2,3,0,increase,0,UBxy,,,,,0,3,3,3,,,,,,space,1.09093696077,7,0,2.21585712535,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')",decrease,3,"(9, 8, 4)",4,4,2,3,triple,DIVIDE,0,BUUxy,,,,,0,4,4,5,,,,,,space,2.83403926808,4,1,6.18310334312,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('ADD', 'HALF', 'THIRD', 'x', 'y')",half,3,"(2, 1, 9)",9,9,8,6,third,ADD,0,BUUxy,,,,,0,5,5,4,,,,,,space,5.20304496225,9,1,3.44833996566,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('THIRD', 'DOUBLE', 'INCREASE', 'TIMES', 'x', 'y')",double,4,"(8, 9, 18, 6)",6,6,4,2,increase,third,TIMES,UUUBxy,,,,,0,6,6,17,,,,,,space,6.91890331253,6,1,3.23460956849,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('THIRD', 'TIMES', 'DOUBLE', 'DECREASE', 'x', 'y')",TIMES,4,"(1, 2, 6, 2)",2,2,3,2,double,third,decrease,UBUUxy,,,,,0,7,7,13,,,,,,space,7.03269428841,2,1,5.02748473198,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'x', 'y')",decrease,2,"(5, 3)",3,3,2,6,0,SUBTRACT,0,BUxy,,,,,0,8,8,1,,,,,,space,1.7152893095,3,1,2.43652344868,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'DIVIDE', 'x', 'y')",triple,4,"(3, 4, 12, 6)",6,6,3,9,increase,half,DIVIDE,UUUBxy,,,,,0,9,9,16,,,,,,space,7.01506592787,6,1,4.10758052394,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DIVIDE', 'INCREASE', 'x', 'y')",increase,2,"(4, 2)",2,2,2,3,0,DIVIDE,0,BUxy,,,,,0,10,10,0,,,,,,space,1.37626463675,2,1,1.87830019929,2017_Jun_02_0911,None,KRITL,001,31059,
